id_sellout,id_parceiro,id_produto,data_fatura,nf,quantidade,valor_total
81,02817349000146,33,2023-09-20,NF_318220,77,252382.13
82,41985720000130,20,2024-04-30,NF_458633,91,78714.09
83,04659823000184,48,2023-08-19,NF_699713,8,38381.04
84,79015428000168,13,2024-03-19,NF_287477,81,82522.8
85,93062785000108,17,2025-01-01,NF_195973,73,122312.95999999999
86,75832104000161,50,2023-09-28,NF_355927,7,13152.58
87,76540893000120,25,2023-07-04,NF_764775,27,42653.25
88,92685710000110,17,2023-07-22,NF_334630,71,118961.92
89,65839402000120,51,2023-01-20,NF_901387,93,53210.88
90,65839402000120,53,2023-01-20,NF_901387,93,53210.88
91,48526193000145,38,2023-01-11,NF_913684,46,128206.59999999999
92,16934507000152,49,2024-07-04,NF_817919,25,87294.5
93,48526193000145,45,2023-03-05,NF_489821,29,127245.62
94,06745819000164,21,2023-05-29,NF_740689,80,330754.4
95,27416938000143,43,2024-06-23,NF_752767,65,82619.55
96,10395286000105,42,2023-12-23,NF_717699,11,37388.340000000004
97,72193856000131,29,2023-12-13,NF_436115,74,316143.54
98,73891425000101,23,2024-08-05,NF_511645,7,33594.68
99,24917653000106,49,2024-07-03,NF_414840,98,342194.44
100,52894317000112,50,2024-12-21,NF_160928,91,170983.54
101,82593406000190,13,2024-11-18,NF_794765,4,4075.2
102,10298654000105,22,2023-05-14,NF_715777,2,517.7
103,82974306000103,18,2023-04-24,NF_596279,32,133059.52
104,28597364000110,50,2024-12-14,NF_611018,57,107099.58
105,23641759000159,41,2023-06-06,NF_410895,83,369797.37000000005
106,06352789000126,22,2024-10-03,NF_625665,33,8542.050000000001
107,38671409000102,25,2024-04-11,NF_799718,20,31595.0
108,54970613000180,34,2024-02-24,NF_108790,65,201683.30000000002
109,47562019000195,41,2024-07-07,NF_738331,79,351975.81
110,89231756000155,27,2024-12-19,NF_252588,91,15769.39
111,89036751000171,35,2023-09-01,NF_979087,59,276739.5
112,26819035000140,9,2025-01-06,NF_262438,13,43889.17
113,26819035000140,39,2025-01-06,NF_262438,13,43889.17
114,52346709000147,3,2024-01-29,NF_218294,58,205952.2
115,84907316000151,17,2023-08-29,NF_300166,46,77073.92
116,71956320000168,15,2023-05-22,NF_262246,25,116080.74999999999
117,69235417000130,9,2024-10-11,NF_619831,37,73050.95
118,69235417000130,39,2024-10-11,NF_619831,37,73050.95
119,96258074000100,21,2024-11-28,NF_559162,38,157108.34000000003
120,70136845000194,41,2024-12-29,NF_991156,43,191581.77000000002
121,45621703000175,24,2024-05-16,NF_915995,49,81416.44
122,75832104000161,21,2023-05-13,NF_106242,18,74419.74
123,52138796000147,42,2023-09-29,NF_238729,21,71377.74
124,75924680000139,14,2023-11-12,NF_904519,72,190015.92
125,40568219000106,48,2024-07-16,NF_519524,16,76762.08
126,32489106000197,37,2024-01-01,NF_839347,64,26167.68
127,75832104000161,12,2024-08-09,NF_888317,38,83376.18000000001
128,71956320000168,25,2024-02-03,NF_390524,91,143757.25
129,01357894000134,16,2024-07-01,NF_799740,17,6755.29
130,95831024000107,35,2024-01-24,NF_920265,71,333025.5
131,71396240000103,50,2023-02-26,NF_260910,85,159709.9
132,10789432000187,13,2024-10-27,NF_905679,47,47883.6
133,79015428000168,17,2024-02-10,NF_747223,97,162525.44
134,41537260000188,24,2024-08-31,NF_324890,29,48185.24
135,17560438000127,40,2024-02-01,NF_859931,18,6634.8
136,68920435000198,25,2024-02-20,NF_939241,77,121640.75
137,75832104000161,34,2023-04-27,NF_279817,33,102393.06000000001
138,69327841000104,43,2024-12-14,NF_953710,8,10168.56
139,75832104000161,44,2023-04-18,NF_687591,63,259786.17
140,69235417000130,12,2023-06-16,NF_664975,82,179917.02000000002
141,35691470000123,9,2023-12-23,NF_929461,46,155300.14
142,35691470000123,39,2023-12-23,NF_929461,46,155300.14
143,27613948000179,15,2024-02-20,NF_676216,62,287880.25999999995
144,18796230000174,26,2024-05-21,NF_459190,58,203863.04
145,67103492000111,34,2024-03-07,NF_121052,84,260636.88
146,82593406000190,27,2024-05-26,NF_775556,29,5025.41
147,07123946000194,47,2024-01-18,NF_675606,47,149460.94
148,54203876000164,18,2023-02-21,NF_750103,43,178798.72999999998
149,63729548000197,9,2023-09-21,NF_794798,33,65153.549999999996
150,63729548000197,39,2023-09-21,NF_794798,33,65153.549999999996
151,15072963000178,9,2024-06-01,NF_414439,9,30384.81
152,15072963000178,39,2024-06-01,NF_414439,9,30384.81
153,17560438000127,25,2024-03-07,NF_630809,81,127959.75
154,16934507000152,5,2024-10-27,NF_414587,57,267088.89
155,08943652000171,38,2023-08-21,NF_499990,28,78038.8
156,62987043000160,38,2023-03-01,NF_956312,41,114271.09999999999
157,18924536000169,50,2023-11-05,NF_843895,75,140920.5
158,27538469000135,33,2024-02-17,NF_890267,6,19666.14
159,31287095000108,50,2023-02-15,NF_814690,95,178499.30000000002
160,89231756000155,34,2023-11-02,NF_331146,94,291665.08
161,18420763000157,13,2024-07-02,NF_617186,65,66222.0
162,48526193000145,50,2023-03-08,NF_694809,66,124010.04000000001
163,24190358000192,43,2024-07-29,NF_146225,58,73722.06
164,32571809000160,2,2023-06-12,NF_731795,55,157012.35
165,94021873000124,24,2024-07-03,NF_927750,22,36554.32
166,95831024000107,7,2024-07-22,NF_174071,82,178887.91999999998
167,19064732000173,2,2023-07-25,NF_977348,87,248364.99
168,41985720000130,10,2024-03-30,NF_699116,4,19955.08
169,08193762000163,22,2024-05-20,NF_304773,4,1035.4
170,75832104000161,50,2023-10-22,NF_772083,7,13152.58
171,82760543000171,46,2023-11-15,NF_388621,59,114759.72
172,39465072000140,11,2023-09-02,NF_881631,71,332906.22
173,10423769000176,11,2024-01-06,NF_154475,24,112531.68
174,13865704000179,12,2024-08-10,NF_657238,29,63629.19
175,39465072000140,23,2024-03-29,NF_121102,18,86386.31999999999
176,28597364000110,27,2024-04-17,NF_450856,28,4852.12
177,76549801000172,40,2024-02-28,NF_976508,37,13638.2
178,60841275000180,21,2024-11-13,NF_989310,27,111629.61000000002
179,81924605000170,17,2023-08-06,NF_635499,32,53616.64
180,65140839000170,17,2023-11-08,NF_581004,63,105557.76
181,81974502000115,33,2023-01-27,NF_431237,51,167162.19
182,09417362000157,51,2024-08-14,NF_479360,86,49205.759999999995
183,09417362000157,53,2024-08-14,NF_479360,86,49205.759999999995
184,15072963000178,28,2024-06-18,NF_273788,56,83908.15999999999
185,14385697000170,33,2023-09-17,NF_730162,19,62276.11
186,56907231000138,15,2024-02-12,NF_897774,10,46432.299999999996
187,94738615000163,10,2023-12-06,NF_315617,100,498877.00000000006
188,30192685000186,12,2024-06-24,NF_516365,17,37299.87
189,47562019000195,43,2023-12-18,NF_557357,76,96601.31999999999
190,38671409000102,22,2024-05-06,NF_614672,16,4141.6
191,83279064000109,31,2023-08-05,NF_701124,7,11663.61
192,67103492000111,35,2024-03-23,NF_387881,36,168858.0
193,46798305000191,49,2024-08-31,NF_894536,71,247916.38
194,56907231000138,37,2024-09-17,NF_157557,79,32300.73
195,30192685000186,2,2023-11-04,NF_798496,57,162721.88999999998
196,24917653000106,32,2023-06-06,NF_862355,71,288787.52999999997
197,69327841000104,22,2024-11-24,NF_506882,72,18637.2
198,24570639000170,47,2024-06-17,NF_578928,7,22260.14
199,31287095000108,,2024-03-03,NF_921197,18,15569.82
200,18924536000169,7,2023-07-14,NF_341411,53,115622.68
201,89231756000155,10,2023-01-10,NF_422932,26,129708.02000000002
202,03461279000107,18,2024-11-03,NF_859940,63,261960.93
203,27910485000107,35,2024-05-04,NF_597613,72,337716.0
204,38671409000102,5,2024-11-04,NF_611941,5,23428.850000000002
205,87903421000100,45,2024-12-21,NF_807664,47,206225.65999999997
206,59086214000175,7,2023-12-19,NF_546271,40,87262.4
207,80967154000196,47,2023-05-07,NF_834491,80,254401.6
208,89231756000155,14,2023-06-13,NF_867464,74,195294.14
209,18924536000169,3,2023-11-10,NF_921345,21,74568.90000000001
210,56893720000188,37,2024-09-23,NF_757939,50,20443.5
211,82593406000190,43,2023-04-10,NF_286154,61,77535.26999999999
212,24190358000192,18,2023-02-16,NF_699992,41,170482.50999999998
213,08943652000171,7,2024-10-20,NF_289952,14,30541.84
214,36215940000145,13,2024-03-04,NF_754551,17,17319.6
215,70136845000194,48,2023-02-23,NF_589352,30,143928.9
216,12653749000117,,2024-03-28,NF_126569,57,14754.45
217,29537460000135,17,2024-11-21,NF_976877,2,3351.04
218,49086132000177,46,2023-04-27,NF_264474,73,141990.84
219,61948725000109,34,2023-11-28,NF_472751,86,266842.52
220,93018674000102,21,2023-03-13,NF_223686,75,310082.25
221,82147395000114,40,2023-11-02,NF_475082,93,34279.8
222,85316427000156,51,2023-11-15,NF_544374,11,6293.759999999999
223,85316427000156,53,2023-11-15,NF_544374,11,6293.759999999999
224,50186723000103,5,2023-04-20,NF_130839,71,332689.67000000004
225,46281375000178,2,2023-01-13,NF_173820,44,125609.88
226,82593406000190,36,2023-03-25,NF_674274,11,47330.8
227,04251687000199,3,2023-11-29,NF_675873,26,92323.40000000001
228,89231756000155,43,2023-09-15,NF_312074,29,36861.03
229,52346709000147,36,2023-10-11,NF_978929,77,331315.60000000003
230,35621094000109,49,2024-12-07,NF_497634,20,69835.6
231,50186723000103,30,2023-09-12,NF_468516,84,224161.56
232,87653941000102,19,2024-07-29,NF_708444,60,192115.8
233,37419085000157,15,2023-12-23,NF_726923,16,74291.68
234,53091426000164,36,2024-06-22,NF_302649,11,47330.8
235,39582407000100,15,2024-02-05,NF_424304,38,176442.74
236,94586732000159,27,2023-11-19,NF_261803,81,14036.49
237,47562019000195,51,2023-08-11,NF_183078,79,45200.64
238,47562019000195,53,2023-08-11,NF_183078,79,45200.64
239,13486579000196,36,2023-09-21,NF_513664,15,64542.0
240,50987326000122,26,2024-01-30,NF_730836,37,130050.56
241,06243195000187,15,2024-06-07,NF_765606,63,292523.49
242,69705832000100,9,2024-12-27,NF_259165,13,25666.55
243,69705832000100,39,2024-12-27,NF_259165,13,25666.55
244,39864210000163,36,2024-02-18,NF_854031,52,223745.6
245,24570639000170,30,2023-11-13,NF_166055,40,106743.6
246,08193762000163,1,2023-09-15,NF_357681,43,123456.87000000001
247,27613948000179,23,2023-09-19,NF_412884,25,119981.0
248,27613948000179,12,2024-08-13,NF_231520,87,190887.57
249,21068975000121,,2024-08-19,NF_472371,50,63553.5
250,84976513000122,5,2023-10-13,NF_556244,81,379547.37000000005
251,17493825000198,34,2024-11-28,NF_457327,39,121009.98000000001
252,46932781000153,,2024-01-26,NF_533875,76,31074.12
253,48526193000145,15,2023-10-08,NF_888062,67,311096.41
254,02817349000146,32,2023-03-26,NF_796618,84,341664.12
255,50186723000103,33,2023-05-21,NF_601474,84,275325.96
256,86740932000196,14,2023-07-24,NF_191546,7,18473.77
257,18924536000169,5,2024-01-08,NF_656639,39,182745.03000000003
258,41693725000190,16,2023-12-08,NF_443302,54,21457.98
259,15072963000178,13,2023-08-09,NF_663557,39,39733.2
260,17560438000127,35,2023-01-12,NF_775890,94,440907.0
261,06352789000126,18,2023-01-13,NF_747255,95,395020.44999999995
262,17493825000198,24,2023-02-17,NF_117834,64,106339.84
263,87653941000102,,2023-11-04,NF_717500,69,17860.65
264,84907316000151,16,2024-02-18,NF_807397,100,39737.0
265,56483297000148,9,2023-12-20,NF_335009,8,15794.8
266,56483297000148,39,2023-12-20,NF_335009,8,15794.8
267,05931862000151,24,2023-09-27,NF_175997,8,13292.48
268,72560143000169,9,2024-02-16,NF_221036,11,37136.990000000005
269,72560143000169,39,2024-02-16,NF_221036,11,37136.990000000005
270,82617945000111,15,2024-09-10,NF_814903,95,441106.85
271,73891425000101,10,2024-09-27,NF_735384,95,473933.15
272,12403859000120,40,2023-11-26,NF_785820,84,30962.4
273,38671409000102,46,2024-09-26,NF_134964,90,175057.19999999998
274,82593406000190,18,2024-02-24,NF_161151,8,33264.88
275,43908267000194,32,2024-11-02,NF_451442,41,166764.63
276,10648975000184,14,2023-04-21,NF_915816,31,81812.41
277,37195026000142,35,2023-08-22,NF_338774,92,431526.0
278,82570196000114,7,2024-06-21,NF_624589,36,78536.16
279,26017845000183,14,2023-02-21,NF_358181,51,134594.61000000002
280,63297450000108,33,2023-10-12,NF_816386,61,199939.09
281,84539107000100,47,2023-03-04,NF_894912,95,302101.9
282,61948725000109,50,2023-11-26,NF_523172,75,140920.5
283,47291650000105,44,2023-11-01,NF_621556,77,317516.43
284,28597364000110,33,2023-10-09,NF_845107,36,117996.84
285,82593406000190,48,2023-07-25,NF_828132,83,398203.29000000004
286,75306842000175,41,2023-09-17,NF_953258,5,22276.95
287,48526193000145,12,2023-03-31,NF_348929,13,28523.43
288,07123946000194,36,2023-05-07,NF_140964,93,400160.4
289,06243195000187,48,2023-05-24,NF_735805,61,292655.43
290,10423769000176,32,2024-11-30,NF_881450,22,89483.45999999999
291,71248630000128,21,2023-07-26,NF_878250,32,132301.76
292,05197284000171,11,2024-11-07,NF_601585,26,121909.31999999999
293,28650493000124,,2023-08-30,NF_592982,53,13719.050000000001
294,18356470000158,13,2023-07-28,NF_279616,7,7131.599999999999
295,10563289000100,35,2023-03-02,NF_816119,92,431526.0
296,71396240000103,2,2024-08-27,NF_346750,12,34257.24
297,50692487000199,14,2024-02-09,NF_530140,82,216407.02000000002
298,01357894000134,48,2024-04-09,NF_297172,50,239881.5
299,32489106000197,8,2024-04-27,NF_508858,62,246744.5
300,78390125000162,9,2024-01-09,NF_638871,11,21717.85
301,78390125000162,39,2024-01-09,NF_638871,11,21717.85
302,75048632000124,43,2025-01-01,NF_530037,47,59740.28999999999
303,08341926000152,42,2023-08-25,NF_846773,34,115563.96
304,27593016000101,50,2023-01-11,NF_878746,79,148436.26
305,18796230000174,48,2023-04-29,NF_222785,65,311845.95
306,07123946000194,1,2024-09-21,NF_765469,10,28710.9
307,27591460000198,27,2024-10-27,NF_491042,9,1559.61
308,60481375000142,41,2024-10-16,NF_857963,66,294055.74000000005
309,69273150000175,9,2023-06-13,NF_879595,55,185684.95
310,69273150000175,39,2023-06-13,NF_879595,55,185684.95
311,63297450000108,35,2023-06-13,NF_235424,17,79738.5
312,18356470000158,16,2024-02-23,NF_638138,92,36558.04
313,84036529000155,49,2023-11-19,NF_792650,53,185064.34
314,51690843000106,51,2024-12-16,NF_186910,56,32040.96
315,51690843000106,53,2024-12-16,NF_186910,56,32040.96
316,02563479000108,29,2024-02-27,NF_521768,75,320415.75
317,85709432000129,30,2023-12-04,NF_841936,16,42697.44
318,59086214000175,6,2023-01-21,NF_814442,94,140302.52
319,03621547000100,27,2024-02-10,NF_834031,85,14729.65
320,94586732000159,29,2024-09-01,NF_337311,38,162343.98
321,79038251000115,36,2023-07-08,NF_549626,8,34422.4
322,58091462000141,10,2024-10-18,NF_435278,88,439011.76
323,54970613000180,13,2023-09-12,NF_377204,32,32601.6
324,04659823000184,23,2024-10-06,NF_762109,54,259158.96
325,73549286000132,5,2024-01-08,NF_625506,73,342061.21
326,35401862000100,,2024-11-11,NF_393752,28,7247.800000000001
327,08193762000163,38,2023-02-09,NF_216699,52,144929.19999999998
328,43908267000194,9,2024-07-28,NF_224905,70,236326.30000000002
329,43908267000194,39,2024-07-28,NF_224905,70,236326.30000000002
330,98274613000111,10,2023-02-26,NF_130549,45,224494.65000000002
331,31287095000108,46,2023-12-25,NF_946908,71,138100.68
332,14320856000159,31,2023-01-23,NF_595434,76,126633.48
333,70136845000194,41,2023-07-17,NF_215736,1,4455.39
334,81924605000170,13,2023-11-21,NF_577042,99,100861.2
335,74126908000182,49,2023-06-07,NF_519205,10,34917.8
336,51086479000161,25,2023-02-12,NF_208906,20,31595.0
337,82593406000190,14,2024-11-22,NF_187118,69,182098.59
338,27613948000179,1,2024-05-05,NF_258366,3,8613.27
339,27613948000179,31,2023-08-27,NF_625704,26,43321.98
340,58314067000180,5,2024-09-28,NF_728020,75,351432.75000000006
341,75924680000139,38,2025-01-04,NF_816891,79,220180.9
342,49306785000114,16,2023-08-03,NF_442459,88,34968.56
343,98203146000139,1,2023-05-07,NF_122231,92,264140.28
344,95831024000107,19,2024-12-19,NF_762243,69,220933.16999999998
345,13280549000129,47,2023-06-21,NF_735469,72,228961.44
346,41963572000153,2,2024-02-10,NF_801941,50,142738.5
347,94586732000159,,2024-05-21,NF_968715,1,258.85
348,12738605000163,24,2023-11-23,NF_253663,39,64800.84
349,86410572000164,2,2023-02-24,NF_691238,30,85643.1
350,23654987000163,21,2023-05-22,NF_983369,79,326619.97000000003
351,34156087000102,28,2023-02-12,NF_780246,93,139347.47999999998
352,35621094000109,49,2024-09-18,NF_821263,90,314260.2
353,94368701000121,18,2024-06-29,NF_314404,68,282751.48
354,69705832000100,42,2023-09-23,NF_407977,72,244723.68
355,48526193000145,,2024-07-29,NF_288292,12,3106.2000000000003
356,41693725000190,14,2023-02-14,NF_531011,41,108203.51000000001
357,26194750000135,12,2024-03-02,NF_577108,96,210634.56
358,46123578000136,,2024-04-26,NF_377351,4,1635.48
359,72193856000131,21,2024-08-01,NF_180783,80,330754.4
360,24137089000109,,2024-02-27,NF_996120,15,19066.05
361,78390125000162,47,2023-06-30,NF_693643,5,15900.1
362,41693725000190,47,2023-01-31,NF_425966,3,9540.06
363,21798640000169,33,2024-04-24,NF_357752,56,183550.64
364,80967154000196,24,2024-09-02,NF_203807,41,68123.95999999999
365,53879426000123,11,2024-11-15,NF_379456,29,135975.78
366,89602145000176,33,2023-08-11,NF_581944,80,262215.2
367,54823017000178,,2024-08-09,NF_391662,19,24150.329999999998
368,54318792000176,42,2023-03-02,NF_605886,59,200537.46
369,69273150000175,40,2023-06-22,NF_388013,67,24696.2
370,89357206000187,47,2023-08-05,NF_361903,90,286201.8
371,38069452000100,51,2024-06-09,NF_601736,21,12015.359999999999
372,38069452000100,53,2024-06-09,NF_601736,21,12015.359999999999
373,39582407000100,50,2024-04-01,NF_646936,25,46973.5
374,87653941000102,51,2023-01-17,NF_880083,17,9726.72
375,87653941000102,53,2023-01-17,NF_880083,17,9726.72
376,85709432000129,11,2024-04-05,NF_657291,38,178175.15999999997
377,04732156000118,,2024-08-28,NF_268109,10,12710.699999999999
378,17560438000127,12,2023-12-10,NF_101459,55,120676.05
379,29645783000142,,2024-05-17,NF_641451,67,17342.95
380,69273150000175,19,2023-02-28,NF_978471,60,192115.8
381,73658420000133,9,2024-10-08,NF_564237,94,185588.9
382,73658420000133,39,2024-10-08,NF_564237,94,185588.9
383,84539107000100,20,2024-04-23,NF_504218,8,6919.92
384,82617945000111,3,2024-01-12,NF_279059,6,21305.4
385,27910485000107,49,2024-04-15,NF_170300,69,240932.82
386,76543092000118,17,2024-01-19,NF_897932,21,35185.92
387,89231756000155,24,2024-11-12,NF_501147,42,69785.52
388,34156087000102,48,2024-10-25,NF_377328,67,321441.21
389,48526193000145,28,2024-12-22,NF_327994,5,7491.799999999999
390,18924536000169,2,2024-10-06,NF_567059,100,285477.0
391,46123578000136,17,2024-12-03,NF_601452,24,40212.479999999996
392,92518043000181,30,2024-03-30,NF_409322,21,56040.39
393,68920435000198,25,2024-11-19,NF_865160,95,150076.25
394,31287095000108,17,2024-01-21,NF_117170,7,11728.64
395,38671409000102,9,2023-04-22,NF_319805,94,317352.46
396,38671409000102,39,2023-04-22,NF_319805,94,317352.46
397,47135298000100,13,2024-10-21,NF_531911,93,94748.4
398,48195760000128,34,2023-08-07,NF_127588,93,288562.26
399,14320856000159,27,2023-09-26,NF_730042,61,10570.689999999999
400,01357894000134,6,2023-05-06,NF_187175,28,41792.24
401,87903421000100,38,2024-03-14,NF_512374,40,111484.0
402,24190358000192,16,2023-08-04,NF_598733,19,7550.03
403,06243195000187,6,2023-04-03,NF_597652,69,102988.01999999999
404,89231756000155,49,2023-06-19,NF_348258,66,230457.48
405,51428963000121,16,2023-10-16,NF_437895,90,35763.3
406,27593016000101,,2023-11-06,NF_311083,24,30505.68
407,69235417000130,2,2024-04-25,NF_228430,64,182705.28
408,32097618000108,,2023-08-05,NF_984911,29,135975.78
409,72418639000100,,2024-02-21,NF_747015,18,4659.3
410,84976513000122,46,2023-01-18,NF_691434,30,58352.399999999994
411,72193856000131,12,2023-08-28,NF_639384,86,188693.46000000002
412,82974306000103,9,2023-09-11,NF_363340,14,27640.899999999998
413,82974306000103,39,2023-09-11,NF_363340,14,27640.899999999998
414,46123578000136,47,2024-12-18,NF_943817,47,149460.94
415,03621547000100,26,2023-02-09,NF_187028,90,316339.2
416,70136845000194,47,2024-01-03,NF_513980,57,181261.13999999998
417,58091462000141,46,2023-06-15,NF_825429,39,75858.12
418,82147395000114,9,2023-10-09,NF_509090,35,118163.15000000001
419,82147395000114,39,2023-10-09,NF_509090,35,118163.15000000001
420,95321487000110,,2024-08-15,NF_462076,55,14236.750000000002
421,38475210000109,36,2024-08-28,NF_564032,72,309801.60000000003
422,14978052000141,,2023-10-28,NF_992072,42,53384.939999999995
423,37419085000157,15,2024-08-13,NF_678815,88,408604.24
424,28597364000110,46,2024-06-27,NF_965525,43,83638.44
425,93062785000108,44,2024-01-25,NF_191426,55,226797.45
426,17253086000167,,2023-08-28,NF_957475,88,111854.15999999999
427,04732156000118,35,2024-02-07,NF_323889,87,408073.5
428,59734260000133,7,2023-01-18,NF_349344,57,124348.92
429,03621547000100,21,2024-03-28,NF_532583,9,37209.87
430,92670451000154,10,2023-09-15,NF_326701,66,329258.82
431,94350628000160,36,2024-01-30,NF_125981,59,253865.2
432,23654987000163,14,2024-05-19,NF_241973,11,29030.210000000003
433,26017845000183,13,2024-05-18,NF_753676,56,57052.799999999996
434,82916470000164,35,2023-06-30,NF_101751,67,314263.5
435,10563289000100,32,2024-03-28,NF_394608,93,378270.99
436,81974502000115,29,2023-07-22,NF_970565,66,281965.86
437,83691075000193,18,2024-06-16,NF_819727,43,178798.72999999998
438,94350628000160,36,2023-01-22,NF_511197,67,288287.60000000003
439,08341926000152,,2024-11-27,NF_468435,67,17342.95
440,05813476000165,25,2023-09-26,NF_549148,82,129539.5
441,18356470000158,24,2024-04-05,NF_595857,27,44862.119999999995
442,50698472000138,,2024-10-12,NF_974318,81,33118.47
443,06243195000187,7,2024-05-09,NF_725995,63,137438.28
444,47562019000195,5,2024-08-21,NF_760689,40,187430.80000000002
445,69273150000175,20,2024-03-09,NF_866886,89,76984.11
446,67042319000150,9,2023-02-12,NF_892582,87,171768.44999999998
447,67042319000150,39,2023-02-12,NF_892582,87,171768.44999999998
448,70136845000194,26,2023-04-27,NF_247004,29,101931.52
449,75924680000139,19,2024-06-01,NF_665182,26,83250.18
450,54203876000164,3,2023-12-09,NF_777952,60,213054.0
451,69273150000175,32,2023-01-08,NF_916166,94,382338.42
452,48195760000128,45,2023-05-18,NF_778786,43,188674.53999999998
453,69457012000146,34,2024-07-18,NF_892015,35,108598.70000000001
